date	month	year	mld
2007-08-04	8	2007	12.5068082809
2007-08-05	8	2007	11.4488964081
2007-08-06	8	2007	8.8381624222
2007-08-07	8	2007	7.9825072289
2007-08-08	8	2007	7.1523008347
2007-08-09	8	2007	4.0157756805
2007-08-10	8	2007	8.5085735321
2007-08-11	8	2007	6.2958841324
2007-08-12	8	2007	13.454870224
2007-08-13	8	2007	12.018280983
2007-08-14	8	2007	14.478061676
2007-08-15	8	2007	15.7198066711
2007-08-16	8	2007	17.8607234955
2007-08-17	8	2007	17.8660964966
2007-08-18	8	2007	17.9850215912
2007-08-19	8	2007	18.9022064209
2007-08-20	8	2007	16.8417396545
2007-08-21	8	2007	21.8005962372
2007-08-22	8	2007	22.0439987183
2007-08-23	8	2007	22.1849422455
2007-08-24	8	2007	18.0939464569
2007-08-25	8	2007	1.8191081285
2007-08-26	8	2007	4.5569343567
2007-08-27	8	2007	13.4185276031
2007-08-28	8	2007	16.7067813873
2007-08-29	8	2007	13.1238574982
2007-08-30	8	2007	11.7765321732
2007-08-31	8	2007	11.7439689636
2007-09-01	9	2007	49.163482666
2007-09-02	9	2007	11.8556156158
2007-09-03	9	2007	14.532286644
2007-09-04	9	2007	11.5132446289
2007-09-05	9	2007	3.9522323608
2007-09-06	9	2007	2.5534799099
2007-09-07	9	2007	5.9635801315
2007-09-08	9	2007	6.3458013535
2007-09-09	9	2007	15.7332000732
2007-09-10	9	2007	11.6591844559
2007-09-11	9	2007	16.1494007111
2007-09-12	9	2007	11.9533586502
2007-09-13	9	2007	6.8375115395
2007-09-14	9	2007	12.9923276901
2007-09-15	9	2007	12.9687108994
2007-09-16	9	2007	17.151599884
2007-09-17	9	2007	23.7392482758
2007-09-18	9	2007	33.4376983643
2007-09-19	9	2007	33.0347137451
2007-09-20	9	2007	39.9008369446
2007-09-21	9	2007	34.5178756714
2007-09-22	9	2007	13.0623989105
2007-09-23	9	2007	49.2750473022
2007-09-24	9	2007	27.3011417389
2007-09-25	9	2007	51.1555671692
2007-09-26	9	2007	50.4918365479
2007-09-27	9	2007	49.8280410767
2007-09-28	9	2007	49.4474639893
2007-09-29	9	2007	49.1175842285
2007-09-30	9	2007	49.0758552551
2007-10-01	10	2007	49.2897453308
2007-10-02	10	2007	49.777141571
2007-10-03	10	2007	50.2351112366
2007-10-04	10	2007	50.9137954712
2007-10-05	10	2007	5.5389533043
2007-10-06	10	2007	7.1460075378
2007-10-07	10	2007	51.924331665
2007-10-08	10	2007	51.8314933777
2007-10-09	10	2007	51.4384651184
2007-10-10	10	2007	51.0266151428
2007-10-11	10	2007	50.3503684998
2007-10-12	10	2007	49.7062530518
2007-10-13	10	2007	4.6773085594
2007-10-14	10	2007	49.0878219604
2007-10-15	10	2007	49.0941581726
2007-10-16	10	2007	49.3710517883
2007-10-17	10	2007	49.9029541016
2007-10-18	10	2007	50.3754692078
2007-10-19	10	2007	51.0471229553
2007-10-20	10	2007	51.4589347839
2007-10-21	10	2007	51.8394355774
2007-10-22	10	2007	51.9131774902
2007-10-23	10	2007	51.7737197876
2007-10-24	10	2007	51.3273353577
2007-10-25	10	2007	50.8924865723
2007-10-26	10	2007	50.2103614807
2007-10-27	10	2007	49.5922317505
2007-10-28	10	2007	49.2776069641
2007-10-29	10	2007	49.0719299316
2007-10-30	10	2007	49.126285553
2007-10-31	10	2007	49.4634552002
2007-11-01	11	2007	50.0345954895
2007-11-02	11	2007	50.5170478821
2007-11-03	11	2007	51.1750488281
2007-11-04	11	2007	51.5591125488
2007-11-05	11	2007	51.8817977905
2007-11-06	11	2007	51.8880844116
2007-11-07	11	2007	51.7034187317
2007-11-08	11	2007	51.2080459595
2007-11-09	11	2007	50.7544975281
2007-11-10	11	2007	50.0731964111
2007-11-11	11	2007	49.4871025085
2007-11-12	11	2007	49.2103157043
2007-11-13	11	2007	49.0700569153
2007-11-14	11	2007	49.1719245911
2007-11-15	11	2007	49.5660362244
2007-11-16	11	2007	50.1707801819
2007-11-17	11	2007	50.6584587097
2007-11-18	11	2007	51.2963142395
2007-11-19	11	2007	51.6488761902
2007-11-20	11	2007	51.9105644226
2007-11-21	11	2007	51.8493080139
2007-11-22	11	2007	51.6212806702
2007-11-23	11	2007	51.0817718506
2007-11-24	11	2007	50.6140022278
2007-11-25	11	2007	49.9402122498
2007-11-26	11	2007	49.3918952942
2007-11-27	11	2007	49.1557044983
2007-11-28	11	2007	49.0822257996
2007-11-29	11	2007	49.2306213379
2007-11-30	11	2007	49.6777954102
2007-12-01	12	2007	50.3101615906
2007-12-02	12	2007	50.7983055115
2007-12-03	12	2007	51.4097290039
2007-12-04	12	2007	51.7273406982
2007-12-05	12	2007	51.9254493713
2007-12-06	12	2007	51.7972221375
2007-12-07	12	2007	51.5281143188
2007-12-08	12	2007	50.9497566223
2007-12-09	12	2007	50.4723892212
2007-12-10	12	2007	49.8127288818
2007-12-11	12	2007	49.3075523376
2007-12-12	12	2007	49.1143112183
2007-12-13	12	2007	49.1083183289
2007-12-14	12	2007	49.3018035889
2007-12-15	12	2007	49.7976303101
2007-12-16	12	2007	50.4513778687
2007-12-17	12	2007	50.9352149963
2007-12-18	12	2007	51.514175415
2007-12-19	12	2007	51.7937355042
2007-12-20	12	2007	51.9263038635
2007-12-21	12	2007	51.7323455811
2007-12-22	12	2007	51.4248313904
2007-12-23	12	2007	50.8132972717
2007-12-24	12	2007	50.3310470581
2007-12-25	12	2007	49.6919898987
2007-12-26	12	2007	49.2348937988
2007-12-27	12	2007	49.0865402222
2007-12-28	12	2007	49.1480712891
2007-12-29	12	2007	49.384765625
2007-12-30	12	2007	49.9243583679
2007-12-31	12	2007	50.5930328369
2008-01-01	1	2008	51.0678405762
2008-01-02	1	2008	51.6086273193
2008-01-03	1	2008	51.8474121094
2008-01-04	1	2008	51.9131240845
2008-01-05	1	2008	51.6553115845
2008-01-06	1	2008	51.3124542236
2008-01-07	1	2008	50.6737365723
2008-01-08	1	2008	50.191368103
2008-01-09	1	2008	49.5791854858
2008-01-10	1	2008	49.1746406555
2008-01-11	1	2008	49.0726661682
2008-01-12	1	2008	49.2010955811
